vlname;netwadd;mask;gw;range_start;range_end;broadcast;wildcard
200;10.0.0.0;255.255.255.240;10.0.0.1/28;10.0.0.1;10.0.0.14;10.0.0.15;0.0.0.15
201;10.0.0.16;255.255.255.240;10.0.0.17/28;10.0.0.17;10.0.0.30;10.0.0.31;0.0.0.15
202;10.0.0.32;255.255.255.240;10.0.0.33/28;10.0.0.33;10.0.0.46;10.0.0.47;0.0.0.15
203;10.0.0.48;255.255.255.240;10.0.0.49/28;10.0.0.49;10.0.0.62;10.0.0.63;0.0.0.15
204;10.0.0.64;255.255.255.240;10.0.0.65/28;10.0.0.65;10.0.0.78;10.0.0.79;0.0.0.15
205;10.0.0.80;255.255.255.240;10.0.0.81/28;10.0.0.81;10.0.0.94;10.0.0.95;0.0.0.15
206;10.0.0.96;255.255.255.240;10.0.0.97/28;10.0.0.97;10.0.0.110;10.0.0.111;0.0.0.15
207;10.0.0.112;255.255.255.240;10.0.0.113/28;10.0.0.113;10.0.0.126;10.0.0.127;0.0.0.15
208;10.0.0.128;255.255.255.240;10.0.0.129/28;10.0.0.129;10.0.0.142;10.0.0.143;0.0.0.15
209;10.0.0.144;255.255.255.240;10.0.0.145/28;10.0.0.145;10.0.0.158;10.0.0.159;0.0.0.15
210;10.0.0.160;255.255.255.240;10.0.0.161/28;10.0.0.161;10.0.0.174;10.0.0.175;0.0.0.15
211;10.0.0.176;255.255.255.240;10.0.0.177/28;10.0.0.177;10.0.0.190;10.0.0.191;0.0.0.15
212;10.0.0.192;255.255.255.240;10.0.0.193/28;10.0.0.193;10.0.0.206;10.0.0.207;0.0.0.15
213;10.0.0.208;255.255.255.240;10.0.0.209/28;10.0.0.209;10.0.0.222;10.0.0.223;0.0.0.15
214;10.0.0.224;255.255.255.240;10.0.0.225/28;10.0.0.225;10.0.0.238;10.0.0.239;0.0.0.15
215;10.0.0.240;255.255.255.240;10.0.0.241/28;10.0.0.241;10.0.0.254;10.0.0.255;0.0.0.15
216;10.0.1.0;255.255.255.240;10.0.1.1/28;10.0.1.1;10.0.1.14;10.0.1.15;0.0.0.15
217;10.0.1.16;255.255.255.240;10.0.1.17/28;10.0.1.17;10.0.1.30;10.0.1.31;0.0.0.15
218;10.0.1.32;255.255.255.240;10.0.1.33/28;10.0.1.33;10.0.1.46;10.0.1.47;0.0.0.15
219;10.0.1.48;255.255.255.240;10.0.1.49/28;10.0.1.49;10.0.1.62;10.0.1.63;0.0.0.15
220;10.0.1.64;255.255.255.240;10.0.1.65/28;10.0.1.65;10.0.1.78;10.0.1.79;0.0.0.15
221;10.0.1.80;255.255.255.240;10.0.1.81/28;10.0.1.81;10.0.1.94;10.0.1.95;0.0.0.15
222;10.0.1.96;255.255.255.240;10.0.1.97/28;10.0.1.97;10.0.1.110;10.0.1.111;0.0.0.15
223;10.0.1.112;255.255.255.240;10.0.1.113/28;10.0.1.113;10.0.1.126;10.0.1.127;0.0.0.15
224;10.0.1.128;255.255.255.240;10.0.1.129/28;10.0.1.129;10.0.1.142;10.0.1.143;0.0.0.15
225;10.0.1.144;255.255.255.240;10.0.1.145/28;10.0.1.145;10.0.1.158;10.0.1.159;0.0.0.15
226;10.0.1.160;255.255.255.240;10.0.1.161/28;10.0.1.161;10.0.1.174;10.0.1.175;0.0.0.15
227;10.0.1.176;255.255.255.240;10.0.1.177/28;10.0.1.177;10.0.1.190;10.0.1.191;0.0.0.15
228;10.0.1.192;255.255.255.240;10.0.1.193/28;10.0.1.193;10.0.1.206;10.0.1.207;0.0.0.15
229;10.0.1.208;255.255.255.240;10.0.1.209/28;10.0.1.209;10.0.1.222;10.0.1.223;0.0.0.15
230;10.0.1.224;255.255.255.240;10.0.1.225/28;10.0.1.225;10.0.1.238;10.0.1.239;0.0.0.15
231;10.0.1.240;255.255.255.240;10.0.1.241/28;10.0.1.241;10.0.1.254;10.0.1.255;0.0.0.15
232;10.0.2.0;255.255.255.240;10.0.2.1/28;10.0.2.1;10.0.2.14;10.0.2.15;0.0.0.15
233;10.0.2.16;255.255.255.240;10.0.2.17/28;10.0.2.17;10.0.2.30;10.0.2.31;0.0.0.15
234;10.0.2.32;255.255.255.240;10.0.2.33/28;10.0.2.33;10.0.2.46;10.0.2.47;0.0.0.15
235;10.0.2.48;255.255.255.240;10.0.2.49/28;10.0.2.49;10.0.2.62;10.0.2.63;0.0.0.15
236;10.0.2.64;255.255.255.240;10.0.2.65/28;10.0.2.65;10.0.2.78;10.0.2.79;0.0.0.15
237;10.0.2.80;255.255.255.240;10.0.2.81/28;10.0.2.81;10.0.2.94;10.0.2.95;0.0.0.15
238;10.0.2.96;255.255.255.240;10.0.2.97/28;10.0.2.97;10.0.2.110;10.0.2.111;0.0.0.15
239;10.0.2.112;255.255.255.240;10.0.2.113/28;10.0.2.113;10.0.2.126;10.0.2.127;0.0.0.15
240;10.0.2.128;255.255.255.240;10.0.2.129/28;10.0.2.129;10.0.2.142;10.0.2.143;0.0.0.15
241;10.0.2.144;255.255.255.240;10.0.2.145/28;10.0.2.145;10.0.2.158;10.0.2.159;0.0.0.15
242;10.0.2.160;255.255.255.240;10.0.2.161/28;10.0.2.161;10.0.2.174;10.0.2.175;0.0.0.15
243;10.0.2.176;255.255.255.240;10.0.2.177/28;10.0.2.177;10.0.2.190;10.0.2.191;0.0.0.15
244;10.0.2.192;255.255.255.240;10.0.2.193/28;10.0.2.193;10.0.2.206;10.0.2.207;0.0.0.15
245;10.0.2.208;255.255.255.240;10.0.2.209/28;10.0.2.209;10.0.2.222;10.0.2.223;0.0.0.15
246;10.0.2.224;255.255.255.240;10.0.2.225/28;10.0.2.225;10.0.2.238;10.0.2.239;0.0.0.15
247;10.0.2.240;255.255.255.240;10.0.2.241/28;10.0.2.241;10.0.2.254;10.0.2.255;0.0.0.15
248;10.0.3.0;255.255.255.240;10.0.3.1/28;10.0.3.1;10.0.3.14;10.0.3.15;0.0.0.15
249;10.0.3.16;255.255.255.240;10.0.3.17/28;10.0.3.17;10.0.3.30;10.0.3.31;0.0.0.15
250;10.0.3.32;255.255.255.240;10.0.3.33/28;10.0.3.33;10.0.3.46;10.0.3.47;0.0.0.15
251;10.0.3.48;255.255.255.240;10.0.3.49/28;10.0.3.49;10.0.3.62;10.0.3.63;0.0.0.15
252;10.0.3.64;255.255.255.240;10.0.3.65/28;10.0.3.65;10.0.3.78;10.0.3.79;0.0.0.15
253;10.0.3.80;255.255.255.240;10.0.3.81/28;10.0.3.81;10.0.3.94;10.0.3.95;0.0.0.15
254;10.0.3.96;255.255.255.240;10.0.3.97/28;10.0.3.97;10.0.3.110;10.0.3.111;0.0.0.15
